"Firstname","Lastname","Business","Telephone","Email"
"Reese","Solis","retailer","666-434-2323","rsolis@starnet.ca"
"Jazmin","Jacobson","contractor","374-362-6683","plover@comcast.net"
"Zoe","Ferrell","distributor","829-804-6740","zeitlin@yahoo.ca"
"Leslie","Stevenson","retailer","870-692-0106","whimsy@comcast.net"
"Lea","Silva","retailer","799-848-1304","chunzi@comcast.net"
"Darryl","Bailey","retailer","466-371-8597","yenya@live.com"
"Jerome","Rice","distributor","242-581-7439","afifi@optonline.net"
"Samuel","Cortez","contractor","312-385-6513","bmorrow@mac.com"
"Brady","Reynolds","contractor","913-451-7669","manuals@comcast.net"
"Amelie","Yu","retailer","968-254-9878","dbindel@gmail.com"
"Luz","Wiggins","distributor","893-932-4527","jespley@hotmail.com"
"Joey","Benson","retailer","566-474-9990","lbenson@gmail.com"
"Emmett","Pham","retailer","758-223-9350","matsn@yahoo.ca"
"Zoe","Ferrell","distributor","829-804-6740","zeitlin@yahoo.ca"
"Neal","Brewer","distributor","219-854-0433","drezet@aol.com"
"George","Tripp","Contractor","905-234-5599","tripprenovation@gmail.com"
"Reese","Solis","retailer","666-434-2323","rsolis@starnet.ca"
